#{"t_start": 1782408124.5807219, "env_id": "None"}
r,l,t,true_done
-0.49,50,10.18537,False
0.76,26,10.200476,True
0.74,28,10.214704,True
0.76,26,10.227378,True
0.8,21,10.237481,True
0.83,18,11.133917,True
0.76,25,11.149802,True
0.75,26,11.167267,True
0.69,32,11.186622,True
0.83,19,11.19738,True
0.85,16,11.20682,True
0.82,20,11.219665,True
0.54,47,11.248011,True
0.72,29,11.264137,True
0.78,23,11.27739,True
0.79,22,11.28858,True
0.82,20,11.29831,True
0.88,14,11.305268,True
0.79,22,11.316119,True
0.79,22,11.327049,True
0.77,25,11.339474,True
0.77,24,11.351341,True
0.79,23,11.362615,True
0.77,25,11.374901,True
0.77,24,11.386185,True
0.73,29,11.400376,True
0.84,17,11.408578,True
0.73,28,11.422178,True
0.82,19,11.431468,True
0.9,12,11.437357,True
0.74,27,11.450561,True
0.7,31,11.466142,True
0.81,20,11.475903,True
0.88,14,11.482775,True
0.87,14,11.48968,True
0.68,33,11.506076,True
0.8,21,11.516601,True
0.71,30,11.531493,True
0.67,34,11.548145,True
0.76,26,11.560993,True
0.73,29,11.575403,True
0.66,36,11.593665,True
0.63,38,11.612692,True
0.73,28,11.626767,True
0.68,33,11.643139,True
0.76,26,11.656083,True
0.85,16,11.664015,True
0.64,38,11.682733,True
0.83,19,11.69219,True
0.67,34,11.70876,True
0.72,30,11.72317,True
0.76,26,11.735645,True
0.83,18,11.744401,True
0.86,16,11.752077,True
0.76,25,11.763864,True
0.62,39,11.782789,True
-0.49,50,11.807571,False
0.8,21,11.817923,True
0.89,13,11.824294,True
0.73,28,11.838566,True
0.77,24,11.851064,True
0.81,21,11.861253,True
0.71,30,11.876051,True
0.86,15,11.883518,True
0.77,25,11.895723,True
0.85,16,11.903708,True
0.86,16,11.911422,True
0.61,41,11.931098,True
0.77,24,11.943015,True
0.77,25,11.955248,True
0.54,47,11.977592,True
0.73,28,11.991414,True
0.75,26,12.004696,True
0.69,32,12.02032,True
0.63,38,12.038502,True
0.86,16,12.046266,True
0.63,39,12.065624,True
0.73,28,12.07891,True
0.8,21,12.089282,True
0.83,18,12.098079,True
0.81,21,12.108329,True
0.88,14,12.115228,True
0.81,20,12.124946,True
0.83,18,12.133684,True
0.82,20,12.143339,True
0.81,21,12.154238,True
0.85,16,13.049032,True
0.82,20,13.061506,True
0.86,15,13.070679,True
0.8,22,13.084529,True
0.75,26,13.099339,True
0.79,22,13.113867,True
0.76,25,13.12851,True
0.64,38,13.15221,True
0.83,18,13.164713,True
0.86,16,13.174557,True
0.85,17,13.185376,True
0.75,26,13.201409,True
0.73,28,13.216208,True
0.78,24,13.228554,True
0.78,24,13.240741,True
0.63,38,13.260241,True
0.88,14,13.267932,True
0.82,19,13.27764,True
0.84,17,13.286145,True
0.82,20,13.296128,True
0.87,14,13.303252,True
0.85,17,13.31176,True
0.68,33,13.328435,True
0.81,20,13.33847,True
0.89,12,13.344318,True
0.84,17,13.352706,True
0.88,14,13.359593,True
0.77,24,13.371861,True
0.83,19,13.38147,True
0.82,20,13.391822,True
0.83,18,13.400929,True
0.79,23,13.412661,True
0.8,22,13.424315,True
0.79,23,13.435476,True
0.89,13,13.441848,True
0.65,36,13.45966,True
0.82,19,13.469381,True
0.82,19,13.479257,True
0.75,26,13.492501,True
0.65,36,13.511087,True
0.87,14,13.518105,True
0.82,19,13.527663,True
0.88,13,13.534084,True
0.75,26,13.547278,True
0.86,16,13.555534,True
0.77,24,13.567363,True
0.77,25,13.580152,True
0.82,19,13.590049,True
0.86,15,13.597775,True
0.69,32,13.613433,True
0.77,25,13.625594,True
0.66,36,13.642758,True
0.82,19,13.652027,True
0.83,18,13.660749,True
0.83,19,13.67048,True
0.85,17,13.678737,True
0.86,16,13.686544,True
0.88,14,13.693422,True
0.81,20,13.703388,True
0.7,32,13.718735,True
0.86,15,13.726456,True
0.8,22,13.737136,True
0.72,29,13.751268,True
0.76,25,13.763948,True
0.81,20,13.773995,True
0.82,20,13.784419,True
0.78,23,13.795659,True
0.75,26,13.808457,True
0.78,24,13.82009,True
0.8,22,13.830762,True
0.69,33,13.847862,True
0.88,14,13.855165,True
0.77,25,13.868243,True
0.81,20,13.878456,True
0.77,24,13.890588,True
0.82,19,13.900155,True
0.84,18,13.909757,True
0.85,16,13.918232,True
0.88,13,13.925171,True
0.87,15,13.933099,True
0.86,16,13.941482,True
0.81,21,13.95291,True
0.76,25,13.966551,True
0.84,17,13.975169,True
0.79,23,13.986843,True
0.78,24,13.998834,True
0.88,14,14.005967,True
0.86,15,14.013686,True
0.87,15,14.021237,True
0.84,18,14.030486,True
0.85,16,14.038513,True
0.87,15,14.045861,True
0.78,24,14.058235,True
0.84,18,14.067089,True
0.64,37,14.08549,True
0.89,13,14.092116,True
0.82,19,14.101901,True
0.85,17,14.110658,True
0.86,16,15.031125,True
0.88,14,15.040695,True
0.88,14,15.048334,True
0.87,14,15.057003,True
0.78,24,15.072903,True
0.84,17,15.08409,True
0.86,15,15.093475,True
0.89,13,15.101316,True
0.79,22,15.114704,True
0.82,19,15.128237,True
0.86,15,15.139294,True
0.74,28,15.15944,True
0.81,21,15.174285,True
0.86,15,15.183657,True
0.87,15,15.193334,True
0.88,14,15.201396,True
0.81,20,15.212477,True
0.87,15,15.221818,True
0.89,12,15.228791,True
0.86,15,15.237406,True
0.85,16,15.245917,True
0.88,14,15.253922,True
0.86,16,15.263117,True
0.89,13,15.27047,True
0.86,16,15.279126,True
0.88,13,15.285631,True
0.81,21,15.296624,True
0.87,15,15.304505,True
0.86,16,15.313259,True
0.9,12,15.319933,True
0.75,27,15.333067,True
0.8,21,15.343725,True
0.87,14,15.350538,True
0.83,18,15.359207,True
0.86,15,15.366468,True
0.84,18,15.375284,True
0.88,13,15.381641,True
0.88,14,15.388426,True
0.88,14,15.395334,True
0.77,25,15.407636,True
0.85,16,15.415399,True
0.81,20,15.425064,True
0.81,20,15.434595,True
0.87,15,15.441829,True
0.87,14,15.448797,True
0.86,16,15.456761,True
0.86,15,15.464031,True
0.82,19,15.473274,True
0.85,17,15.481589,True
0.86,15,15.48905,True
0.9,12,15.495032,True
0.9,12,15.501244,True
0.88,13,15.507599,True
0.83,19,15.516995,True
0.9,12,15.523111,True
0.86,16,15.531442,True
0.84,18,15.540541,True
0.89,12,15.546274,True
0.79,22,15.557726,True
0.86,16,15.56531,True
0.88,14,15.572079,True
0.83,18,15.580991,True
0.89,13,15.587532,True
0.88,13,15.594243,True
0.85,16,15.602341,True
0.87,14,15.609271,True
0.8,21,15.619515,True
0.86,16,15.62738,True
0.76,26,15.640181,True
0.89,13,15.646756,True
0.86,16,15.654796,True
0.85,16,15.662803,True
0.86,15,15.670295,True
0.87,14,15.677383,True
0.74,28,15.691622,True
0.86,15,15.699061,True
0.82,19,15.708675,True
0.88,14,15.715581,True
0.8,22,15.726185,True
0.81,20,15.736275,True
0.87,14,15.743554,True
0.86,15,15.750927,True
0.86,15,15.758465,True
0.8,21,15.768598,True
0.88,13,15.775376,True
0.84,17,15.78366,True
0.9,12,15.790934,True
0.82,19,15.800391,True
0.85,17,15.809975,True
0.86,15,15.817438,True
0.86,15,15.825682,True
0.87,14,15.832543,True
0.88,14,15.840956,True
0.86,16,15.84907,True
0.89,12,15.855032,True
0.83,19,15.86489,True
0.84,17,15.873615,True
0.86,15,15.88095,True
0.84,17,15.88965,True
0.82,19,15.898957,True
0.86,16,15.907073,True
0.89,13,15.913391,True
0.79,22,15.924178,True
0.85,16,15.931726,True
0.8,21,15.942226,True
0.79,23,15.953576,True
0.8,21,15.96401,True
0.87,14,15.971261,True
0.89,12,15.977416,True
0.84,18,15.986269,True
0.86,16,15.994451,True
0.8,21,16.004853,True
0.84,18,16.013708,True
0.87,14,16.020783,True
0.88,14,16.027816,True
0.84,18,16.036895,True
0.84,17,16.045003,True
0.84,18,16.053484,True
0.82,19,16.062527,True
0.84,18,16.071426,True
0.87,14,16.078356,True
0.83,18,16.087053,True
0.9,12,16.092773,True
0.9,12,16.098721,True
0.8,21,17.040227,True
0.9,12,17.048736,True
0.88,14,17.05728,True
0.82,19,17.068071,True
0.89,13,17.075646,True
0.88,14,17.085143,True
0.88,13,17.097404,True
0.89,12,17.104625,True
0.88,14,17.112966,True
0.87,14,17.121486,True
0.88,14,17.130723,True
0.89,12,17.137669,True
0.88,14,17.146235,True
0.85,17,17.156528,True
0.88,14,17.166756,True
0.88,14,17.175683,True
0.86,16,17.185638,True
0.86,16,17.193977,True
0.85,17,17.202491,True
0.88,14,17.209686,True
0.86,16,17.217493,True
0.88,13,17.224595,True
0.83,18,17.234161,True
0.89,12,17.240367,True
0.9,12,17.246005,True
0.86,16,17.253694,True
0.88,14,17.261036,True
0.85,17,17.269674,True
0.87,15,17.277008,True
0.82,19,17.28692,True
0.85,16,17.294934,True
0.86,15,17.302673,True
0.88,14,17.309171,True
0.9,12,17.314977,True
0.88,13,17.32248,True
0.89,12,17.328322,True
0.87,14,17.335814,True
0.84,18,17.344766,True
0.89,12,17.350765,True
0.85,17,17.359086,True
0.89,12,17.364827,True
0.88,14,17.371711,True
0.88,14,17.378574,True
0.83,18,17.387361,True
0.89,12,17.393235,True
0.87,14,17.399937,True
0.88,14,17.406874,True
0.9,12,17.412626,True
0.85,17,17.420734,True
0.84,18,17.429297,True
0.88,13,17.435484,True
