#{"t_start": 1782337715.0566962, "env_id": "None"}
r,l,t,true_done
0.84,17,12.666314,True
0.75,26,12.685347,True
0.8,21,12.698346,True
1.45,16,12.709158,True
0.66,35,12.737247,True
1.46,15,12.746922,True
0.83,18,12.758829,True
0.71,30,12.784919,True
1.48,13,12.79358,True
1.43,18,12.805146,True
1.38,23,12.824338,True
1.35,26,12.841103,True
1.44,17,12.852385,True
0.71,30,12.876742,True
0.79,22,12.897455,True
0.84,17,12.910451,True
0.87,14,12.923111,True
0.81,20,12.935947,True
0.78,23,12.951732,True
1.49,12,12.95999,True
0.85,16,12.972928,True
0.78,23,12.987817,True
0.82,19,13.00196,True
1.45,16,13.013828,True
0.79,22,13.032659,True
1.15,46,13.06428,True
0.85,16,13.077208,True
1.38,23,13.091663,True
1.24,37,13.116756,True
1.34,27,13.143458,True
1.43,18,13.158141,True
0.86,15,13.170887,True
0.87,14,13.180809,True
1.44,17,13.191568,True
1.28,33,13.212332,True
1.47,14,13.224695,True
0.87,14,13.234906,True
0.79,22,13.249679,True
0.87,14,13.258835,True
0.85,16,13.272037,True
0.82,19,13.285096,True
1.35,26,13.303159,True
0.82,19,13.315372,True
0.73,28,13.337654,True
1.37,24,13.352905,True
1.43,18,13.365456,True
1.35,26,13.38585,True
1.47,14,13.394866,True
1.41,20,13.407995,True
0.89,12,13.416403,True
0.78,23,13.43386,True
1.43,18,13.445033,True
0.73,28,13.463987,True
0.71,30,13.485463,True
0.87,14,13.496339,True
0.8,21,13.509822,True
0.74,27,13.530417,True
0.1,50,13.565451,False
1.37,24,13.582972,True
0.86,15,13.592533,True
0.81,20,13.605681,True
1.36,25,13.625372,True
0.83,18,13.637791,True
0.84,17,13.650217,True
0.85,16,13.660536,True
0.83,18,13.675096,True
0.77,24,13.691738,True
0.88,13,13.701833,True
1.45,16,13.712836,True
1.36,25,13.730104,True
1.41,20,13.742924,True
1.4,21,13.756352,True
0.75,26,13.776266,True
1.41,20,13.79148,True
1.33,28,13.809771,True
0.75,26,13.829482,True
0.89,12,13.837035,True
0.74,27,13.854271,True
1.24,37,13.881119,True
1.27,34,13.903791,True
0.81,20,15.711212,True
0.85,16,15.726253,True
0.83,18,15.741118,True
1.25,36,15.77076,True
1.4,21,15.788972,True
1.49,12,15.799244,True
0.86,15,15.812096,True
1.41,20,15.828419,True
0.87,14,15.840059,True
1.42,19,15.855048,True
0.83,18,15.866544,True
1.35,26,15.883539,True
1.45,16,15.893989,True
1.44,17,15.904724,True
1.42,19,15.916683,True
1.48,13,15.925274,True
1.48,13,15.933636,True
0.79,22,15.947845,True
0.8,21,15.964227,True
0.87,14,15.973811,True
0.79,22,15.997602,True
0.83,18,16.009804,True
0.85,16,16.023726,True
0.79,22,16.03792,True
1.4,21,16.051563,True
1.41,20,16.065021,True
1.39,22,16.081397,True
1.45,16,16.091928,True
1.45,16,16.102111,True
0.86,15,16.111561,True
0.83,18,16.123731,True
1.44,17,16.135497,True
1.49,12,16.143328,True
0.82,19,16.155158,True
1.43,18,16.166836,True
0.85,16,16.177394,True
0.87,14,16.186361,True
0.83,18,16.19783,True
1.43,18,16.209195,True
1.47,14,16.218984,True
0.87,14,16.228117,True
1.42,19,16.240001,True
1.4,21,16.253183,True
1.45,16,16.263435,True
1.42,19,16.276022,True
0.88,13,16.284392,True
0.88,13,16.292409,True
1.26,35,16.316843,True
0.73,28,16.334943,True
1.36,25,16.351128,True
1.45,16,16.361038,True
0.87,14,16.370596,True
0.87,14,16.380087,True
1.47,14,16.389074,True
1.34,27,16.40617,True
1.43,18,16.418224,True
1.41,20,16.43109,True
1.36,25,16.447256,True
1.4,21,16.460757,True
1.43,18,16.472629,True
0.82,19,16.484742,True
1.45,16,16.49523,True
0.81,20,16.507945,True
0.85,16,16.51851,True
1.47,14,16.529097,True
0.83,18,16.541506,True
1.43,18,16.552808,True
0.83,18,16.564228,True
0.86,15,16.573954,True
0.84,17,16.585104,True
1.43,18,16.596537,True
1.47,14,16.605294,True
1.48,13,16.613822,True
1.45,16,16.624921,True
1.32,29,16.643927,True
0.83,18,16.655311,True
1.43,18,16.667186,True
0.85,16,16.678575,True
1.47,14,16.687701,True
0.84,17,16.698916,True
0.82,19,16.711257,True
0.8,21,16.726374,True
1.46,15,16.73618,True
1.45,16,16.746186,True
1.49,12,16.753837,True
0.79,22,16.768665,True
1.4,21,16.783208,True
0.83,18,16.795557,True
1.46,15,16.805217,True
1.42,19,16.817582,True
1.47,14,16.827976,True
1.43,18,16.839314,True
1.44,17,16.85004,True
1.42,19,16.861901,True
1.38,23,16.876724,True
0.85,16,16.886948,True
0.81,20,16.899492,True
1.45,16,16.909664,True
0.84,17,16.920733,True
1.4,21,16.934046,True
1.46,15,16.943684,True
0.89,12,16.951845,True
1.48,13,16.96052,True
0.87,14,16.970035,True
0.86,15,16.97948,True
1.49,12,16.986882,True
1.48,13,16.995042,True
1.42,19,17.007396,True
1.45,16,17.017666,True
0.8,21,17.030998,True
0.87,14,17.039817,True
0.88,13,17.048211,True
0.84,17,17.058965,True
1.45,16,17.069145,True
1.45,16,17.079195,True
1.4,21,18.939365,True
1.34,27,18.962858,True
1.42,19,18.980308,True
0.81,20,18.996778,True
1.41,20,19.013598,True
0.89,12,19.024112,True
1.46,15,19.036587,True
0.87,14,19.047928,True
1.47,14,19.059424,True
0.87,14,19.071447,True
0.86,15,19.084043,True
0.87,14,19.093055,True
1.44,17,19.104358,True
0.89,12,19.112249,True
1.45,16,19.123331,True
0.86,15,19.133758,True
1.47,14,19.143672,True
1.34,27,19.161801,True
0.87,14,19.171826,True
0.85,16,19.18341,True
0.89,12,19.191241,True
0.81,20,19.204678,True
1.41,20,19.218486,True
1.47,14,19.228267,True
0.81,20,19.241235,True
0.89,12,19.249089,True
0.85,16,19.259394,True
1.41,20,19.273084,True
1.43,18,19.284993,True
1.37,24,19.300042,True
1.43,18,19.311916,True
1.49,12,19.319975,True
1.43,18,19.331813,True
1.44,17,19.34325,True
1.37,24,19.358495,True
1.38,23,19.373218,True
1.45,16,19.384403,True
0.88,13,19.393616,True
0.89,12,19.401141,True
1.47,14,19.409935,True
0.88,13,19.418904,True
1.47,14,19.428537,True
0.83,18,19.440457,True
1.37,24,19.45672,True
1.41,20,19.470936,True
0.79,22,19.48594,True
1.47,14,19.495594,True
1.47,14,19.504815,True
1.46,15,19.515518,True
0.89,12,19.524761,True
1.43,18,19.537388,True
0.85,16,19.549959,True
1.47,14,19.559661,True
0.89,12,19.569687,True
0.88,13,19.579871,True
1.45,16,19.591532,True
1.49,12,19.600326,True
1.43,18,19.615603,True
1.41,20,19.63298,True
0.87,14,19.643628,True
1.45,16,19.655454,True
1.45,16,19.669559,True
1.45,16,19.682913,True
1.42,19,19.69761,True
0.86,15,19.708368,True
1.44,17,19.724904,True
1.47,14,19.736125,True
0.86,15,19.747974,True
1.39,22,19.766193,True
0.85,16,19.780857,True
1.47,14,19.792504,True
1.42,19,19.806259,True
1.49,12,19.816942,True
1.41,20,19.833138,True
0.85,16,19.845738,True
1.37,24,19.866897,True
1.44,17,19.882156,True
1.44,17,19.898092,True
0.85,16,19.912818,True
1.47,14,19.927018,True
1.47,14,19.940208,True
0.85,16,19.954054,True
1.37,24,19.978015,True
1.42,19,19.993833,True
1.45,16,20.005267,True
1.41,20,20.022495,True
0.83,18,20.036332,True
1.43,18,20.051738,True
1.38,23,20.071443,True
0.87,14,20.081333,True
1.48,13,20.091867,True
0.87,14,20.103339,True
1.46,15,20.113669,True
1.43,18,20.128098,True
1.43,18,20.140127,True
1.38,23,20.15553,True
1.46,15,20.166768,True
1.46,15,20.17863,True
1.43,18,20.190207,True
0.89,12,20.198067,True
0.87,14,20.207432,True
1.41,20,20.223051,True
1.46,15,20.232627,True
1.44,17,20.243556,True
1.48,13,20.251939,True
0.87,14,20.261141,True
0.89,12,20.269655,True
0.83,18,20.283441,True
1.4,21,20.296668,True
1.44,17,20.307798,True
1.45,16,20.320269,True
0.81,20,20.334414,True
0.86,15,20.343992,True
1.48,13,20.352287,True
0.89,12,20.35974,True
1.47,14,20.370954,True
0.83,18,20.383434,True
1.4,21,20.39766,True
1.41,20,20.411019,True
1.32,29,20.4322,True
1.46,15,20.441932,True
1.43,18,20.454225,True
1.49,12,20.462003,True
1.43,18,22.499423,True
