#{"t_start": 1782408269.688641, "env_id": "None"}
r,l,t,true_done
0.73,28,10.492072,True
0.7,31,10.509397,True
0.79,22,10.521831,True
0.83,18,10.532095,True
0.75,26,10.546931,True
0.85,16,10.556448,True
0.71,30,10.573691,True
0.69,32,10.592142,True
0.79,22,10.605367,True
0.69,32,10.624489,True
0.7,31,10.642536,True
0.79,22,10.654982,True
0.76,25,10.669353,True
0.87,14,10.677241,True
0.53,48,10.705137,True
0.88,13,10.712546,True
0.79,22,10.725061,True
0.86,15,10.73385,True
0.56,45,10.761684,True
0.57,44,10.787867,True
0.84,17,10.798282,True
0.85,16,10.808476,True
0.76,25,10.824127,True
0.53,48,10.851968,True
0.8,21,10.865415,True
0.83,18,10.87597,True
0.81,20,10.887815,True
0.83,18,10.898116,True
0.87,14,10.906339,True
-0.5,50,10.934679,False
0.55,46,10.961295,True
0.52,49,10.989001,True
0.76,25,12.010095,True
0.83,18,12.02173,True
0.8,21,12.036625,True
0.79,22,12.050387,True
0.72,29,12.071618,True
0.68,33,12.093294,True
0.83,18,12.10583,True
0.8,21,12.120946,True
0.73,28,12.14052,True
0.83,18,12.155143,True
0.83,18,12.169196,True
0.89,12,12.177862,True
0.73,28,12.197877,True
0.65,36,12.220556,True
0.66,35,12.241331,True
0.77,24,12.256601,True
0.79,22,12.270358,True
0.62,39,12.293911,True
0.78,23,12.307505,True
0.87,14,12.315873,True
0.73,28,12.331742,True
0.82,19,12.343092,True
0.78,23,12.356253,True
0.85,16,12.365492,True
0.87,14,12.373401,True
0.84,17,12.382942,True
0.8,21,12.39484,True
0.84,17,12.404358,True
0.83,18,12.414421,True
0.78,23,12.427011,True
0.85,16,12.435874,True
0.88,13,12.443071,True
0.84,17,12.452498,True
0.57,44,12.476954,True
0.84,17,12.486461,True
0.7,31,12.504173,True
0.76,25,12.518127,True
0.84,17,12.527711,True
0.7,31,12.545034,True
0.79,22,12.557584,True
0.85,16,12.566836,True
0.77,24,12.580563,True
0.83,18,12.590655,True
0.82,19,12.601754,True
0.8,21,12.613476,True
0.85,16,12.622576,True
0.63,38,12.643643,True
0.79,22,12.656128,True
0.81,20,12.667621,True
0.79,22,12.680313,True
0.82,19,12.691519,True
0.74,27,12.707094,True
0.75,26,12.721636,True
0.8,21,12.733602,True
0.74,27,12.749218,True
0.71,30,12.765984,True
0.85,16,12.774887,True
0.87,14,12.782677,True
0.82,19,12.793182,True
0.81,20,12.804792,True
0.8,21,12.816471,True
0.86,15,12.825099,True
0.84,17,12.834534,True
0.85,16,12.843538,True
0.82,19,12.854282,True
0.78,23,12.867398,True
0.8,21,12.879469,True
0.88,13,12.886815,True
0.87,14,12.894763,True
0.87,14,12.902652,True
0.82,19,12.913397,True
0.74,27,12.928376,True
0.88,13,12.935819,True
0.79,22,12.948136,True
0.81,20,12.959541,True
0.86,15,12.968036,True
0.81,20,12.979135,True
0.86,15,12.987283,True
0.82,19,12.997805,True
0.81,20,13.009747,True
0.85,16,13.018887,True
0.75,26,13.033486,True
0.81,20,13.044568,True
0.82,19,13.055245,True
0.82,19,13.065822,True
0.85,16,13.074715,True
0.83,18,13.084672,True
0.83,18,13.095043,True
0.82,19,13.106434,True
0.83,18,13.116572,True
0.79,22,13.128929,True
0.77,24,13.142277,True
0.79,22,13.156242,True
0.77,24,13.171794,True
0.82,19,13.18266,True
0.8,21,13.194798,True
0.83,18,13.205959,True
0.83,18,14.301167,True
0.88,13,14.311028,True
0.86,15,14.32107,True
0.86,15,14.331096,True
0.87,14,14.340635,True
0.86,15,14.351411,True
0.72,29,14.372402,True
0.79,22,14.386131,True
0.89,12,14.394203,True
0.82,19,14.409234,True
0.81,20,14.423086,True
0.86,15,14.432707,True
0.87,14,14.442853,True
0.83,18,14.454988,True
0.84,17,14.467307,True
0.84,17,14.479066,True
0.88,13,14.486949,True
0.85,16,14.497174,True
0.85,16,14.507224,True
0.81,20,14.518966,True
0.86,15,14.527656,True
0.75,26,14.542112,True
0.88,13,14.549781,True
0.84,17,14.560038,True
0.78,23,14.573368,True
0.85,16,14.582666,True
0.86,15,14.591223,True
0.87,14,14.599636,True
0.88,13,14.607389,True
0.88,13,14.614956,True
0.82,19,14.625857,True
0.87,14,14.634127,True
0.83,18,14.644626,True
0.85,16,14.653793,True
0.75,26,14.669017,True
0.82,19,14.679925,True
0.84,17,14.689887,True
0.87,14,14.698261,True
0.82,19,14.710196,True
0.87,14,14.718361,True
0.86,15,14.727141,True
0.83,18,14.737684,True
0.85,16,14.746922,True
0.81,20,14.75874,True
0.88,13,14.766418,True
0.87,14,14.774845,True
0.87,14,14.783215,True
0.82,19,14.794358,True
0.83,18,14.805256,True
0.86,15,14.814158,True
0.79,22,14.827274,True
0.82,19,14.83832,True
0.83,18,14.849035,True
0.87,14,14.858098,True
0.65,36,14.879692,True
0.84,17,14.889579,True
0.87,14,14.897637,True
0.86,15,14.907366,True
0.82,19,14.918714,True
0.87,14,14.927115,True
0.87,14,14.935437,True
0.79,22,14.948477,True
0.84,17,14.958441,True
0.85,16,14.967988,True
0.77,24,14.981839,True
0.88,13,14.989379,True
0.87,14,14.997735,True
0.89,12,15.005428,True
0.88,13,15.013047,True
0.77,24,15.027182,True
0.85,16,15.03632,True
0.81,20,15.048137,True
0.86,15,15.057225,True
0.87,14,15.06536,True
0.88,13,15.073266,True
0.87,14,15.081619,True
0.87,14,15.08963,True
0.86,15,15.098501,True
0.88,13,15.106459,True
0.86,15,15.115339,True
0.73,28,15.131444,True
0.89,12,15.138322,True
0.85,16,15.14758,True
0.79,22,15.160793,True
0.83,18,15.172706,True
0.86,15,15.181484,True
0.83,18,15.192453,True
0.83,18,15.203213,True
0.87,14,15.211407,True
0.83,18,15.221687,True
0.88,13,15.229563,True
0.88,13,15.237148,True
0.8,21,15.249088,True
0.82,19,15.260555,True
0.8,21,15.272348,True
0.8,21,15.284273,True
0.87,14,15.292395,True
0.87,14,15.300947,True
0.86,15,15.309784,True
0.89,12,15.317038,True
0.89,12,15.324054,True
0.81,20,15.335663,True
0.86,15,15.344487,True
0.83,18,15.35528,True
0.82,19,15.366554,True
0.85,16,15.375793,True
0.88,13,15.383333,True
0.8,21,15.395456,True
0.86,15,15.404299,True
0.84,17,15.414047,True
0.83,18,15.424126,True
0.84,17,15.43365,True
0.85,16,15.442602,True
0.86,15,15.451333,True
0.85,16,15.460832,True
0.8,21,15.47305,True
0.83,18,15.483637,True
0.8,21,15.495768,True
0.87,14,15.504024,True
0.89,12,15.511113,True
0.79,22,15.52373,True
0.85,16,15.53297,True
0.83,18,16.557149,True
0.85,16,16.567673,True
0.87,14,16.577413,True
0.83,18,16.589732,True
0.85,16,16.59932,True
0.87,14,16.60938,True
0.86,15,16.619721,True
0.87,14,16.629329,True
0.89,12,16.637725,True
0.89,12,16.645093,True
0.85,16,16.656273,True
0.82,19,16.668666,True
0.82,19,16.680935,True
0.86,15,16.690249,True
0.8,21,16.703337,True
0.78,23,16.718145,True
0.88,13,16.727045,True
0.89,12,16.734408,True
0.75,26,16.75009,True
0.88,13,16.757965,True
0.86,15,16.7666,True
0.87,14,16.774796,True
0.85,16,16.784231,True
0.81,20,16.795783,True
0.86,15,16.804769,True
0.89,12,16.812154,True
0.8,21,16.824027,True
0.88,13,16.831586,True
0.88,13,16.839215,True
0.88,13,16.846789,True
0.84,17,16.856826,True
0.89,12,16.863865,True
0.81,20,16.875599,True
0.88,13,16.883138,True
0.8,21,16.895041,True
0.84,17,16.905122,True
0.87,14,16.913375,True
0.89,12,16.920402,True
0.87,14,16.928825,True
0.88,13,16.936433,True
0.85,16,16.945691,True
0.84,17,16.955473,True
0.89,12,16.962662,True
0.83,18,16.973011,True
0.84,17,16.982786,True
0.84,17,16.992597,True
0.85,16,17.001837,True
0.87,14,17.010003,True
0.87,14,17.018096,True
0.88,13,17.025521,True
0.88,13,17.032964,True
0.84,17,17.04276,True
0.85,16,17.052238,True
0.84,17,17.062368,True
0.78,23,17.075172,True
0.82,19,17.086384,True
0.89,12,17.093141,True
0.89,12,17.100138,True
0.85,16,17.109361,True
0.85,16,17.118405,True
0.77,24,17.132028,True
0.87,14,17.140179,True
0.88,13,17.14763,True
0.84,17,17.160289,True
0.89,12,17.167443,True
0.88,13,17.175696,True
0.87,14,17.183723,True
