#{"t_start": 1782233975.454357, "env_id": "None"}
r,l,t,true_done
0.82,19,10.039067,True
0.86,15,10.047339,True
0.64,37,10.067195,True
0.68,33,10.084744,True
0.69,32,10.10264,True
0.84,17,10.115198,True
0.73,28,10.137053,True
0.73,28,10.160588,True
0.79,22,10.181124,True
0.61,40,10.208071,True
0.83,18,10.219526,True
0.75,26,10.237652,True
0.65,36,10.258963,True
0.85,16,10.26745,True
0.76,25,10.28022,True
0.82,19,10.290268,True
0.82,19,10.300249,True
0.75,26,10.314619,True
0.84,17,10.323453,True
0.8,21,10.334349,True
0.77,24,10.346413,True
0.75,26,10.359598,True
0.78,23,10.371274,True
0.8,21,10.382165,True
0.73,28,10.396409,True
0.75,26,10.409582,True
0.7,31,10.425412,True
0.7,31,10.444192,True
0.89,12,10.450679,True
0.77,24,10.465627,True
0.8,21,10.483013,True
0.8,21,10.500338,True
0.67,34,10.531424,True
0.79,22,10.550407,True
0.7,31,11.740915,True
0.74,27,11.758797,True
0.85,16,11.771186,True
0.77,24,11.788901,True
0.81,20,11.80387,True
0.83,18,11.817629,True
0.73,28,11.837844,True
0.82,19,11.852167,True
0.79,22,11.867069,True
0.79,22,11.88184,True
0.85,16,11.891672,True
0.87,14,11.898901,True
0.81,20,11.910285,True
0.82,19,11.920243,True
0.69,32,11.944937,True
0.84,17,11.960606,True
0.81,20,11.973096,True
0.79,22,11.988748,True
0.73,28,12.009874,True
0.68,33,12.041749,True
0.75,26,12.069584,True
0.85,16,12.082784,True
0.86,15,12.09695,True
0.86,15,12.107223,True
0.81,20,12.121041,True
0.83,18,12.131761,True
0.81,20,12.149066,True
0.87,14,12.157499,True
0.78,23,12.17039,True
0.85,16,12.17855,True
0.82,19,12.191017,True
0.82,19,12.203511,True
0.84,17,12.214243,True
0.79,22,12.226238,True
0.87,14,12.234413,True
0.89,12,12.244374,True
0.77,24,12.260655,True
0.86,15,12.269617,True
0.79,22,12.282902,True
0.75,26,12.303943,True
0.82,19,12.315886,True
0.86,15,12.326384,True
0.77,24,12.34812,True
0.73,28,12.371761,True
0.74,27,12.397646,True
0.69,32,12.431167,True
0.89,12,12.445687,True
0.73,28,12.482578,True
0.87,14,12.502837,True
0.8,21,12.533433,True
0.8,21,12.56099,True
0.77,24,12.5806,True
0.87,14,12.594847,True
0.87,14,12.606105,True
0.79,22,12.62377,True
0.8,21,12.64156,True
0.8,21,12.656904,True
0.85,16,12.666566,True
0.77,24,12.679873,True
0.81,20,12.703038,True
0.67,34,12.73401,True
0.74,27,12.783329,True
0.75,26,12.939097,True
0.89,12,12.955637,True
0.69,32,13.012091,True
0.81,20,13.03499,True
0.72,29,13.061771,True
0.72,29,13.095715,True
0.62,39,13.128947,True
0.82,19,13.142298,True
0.76,25,13.160373,True
0.8,21,13.175983,True
0.7,31,13.199955,True
0.79,22,13.215418,True
0.83,18,13.228837,True
0.63,38,13.255596,True
0.79,22,13.270488,True
0.87,14,13.2802,True
0.83,18,13.293198,True
0.87,14,13.303203,True
0.76,25,13.320444,True
0.89,12,13.328615,True
0.78,23,13.345005,True
0.87,14,13.358968,True
0.85,16,13.389708,True
0.73,28,13.415001,True
0.87,14,13.425667,True
0.77,24,13.443896,True
0.76,25,13.463306,True
0.8,21,13.47955,True
0.83,18,13.492523,True
0.8,21,13.508485,True
0.8,21,13.525379,True
0.79,22,13.548512,True
0.6,41,13.596952,True
0.82,19,16.07908,True
0.85,16,16.092651,True
0.84,17,16.1068,True
0.74,27,16.128375,True
0.88,13,16.139796,True
0.82,19,16.155156,True
0.74,27,16.177165,True
0.86,15,16.188765,True
0.83,18,16.204591,True
0.85,16,16.219361,True
0.85,16,16.233468,True
0.86,15,16.246281,True
0.75,26,16.266628,True
0.86,15,16.279155,True
0.79,22,16.297332,True
0.89,12,16.306324,True
0.85,16,16.319222,True
0.77,24,16.340982,True
0.87,14,16.352677,True
0.88,13,16.362688,True
0.81,20,16.378556,True
0.88,13,16.389837,True
0.86,15,16.400745,True
0.88,13,16.411333,True
0.88,13,16.420915,True
0.86,15,16.432822,True
0.8,21,16.450314,True
0.82,19,16.465912,True
0.84,17,16.479991,True
0.75,26,16.500549,True
0.76,25,16.518117,True
0.85,16,16.529201,True
0.84,17,16.541366,True
0.84,17,16.553441,True
0.88,13,16.562618,True
0.84,17,16.574351,True
0.89,12,16.582849,True
0.77,24,16.599838,True
0.84,17,16.611337,True
0.81,20,16.62507,True
0.78,23,16.642074,True
0.83,18,16.654191,True
0.85,16,16.665293,True
0.84,17,16.676856,True
0.84,17,16.688576,True
0.89,12,16.696836,True
0.76,25,16.71411,True
0.87,14,16.725022,True
0.72,29,16.745342,True
0.86,15,16.75575,True
0.87,14,16.76547,True
0.85,16,16.777008,True
0.8,21,16.791229,True
0.88,13,16.800419,True
0.86,15,16.811616,True
0.83,18,16.825305,True
0.88,13,16.834961,True
0.82,19,16.850814,True
0.82,19,16.864773,True
0.86,15,16.875537,True
0.88,13,16.885771,True
0.85,16,16.898034,True
0.85,16,16.913633,True
0.83,18,16.929303,True
0.83,18,16.944349,True
0.78,23,16.960633,True
0.89,12,16.969185,True
0.81,20,16.983795,True
