#{"t_start": 1782183918.017366, "env_id": "None"}
r,l,t,true_done
0.72,29,9.650504,True
1.1,21,9.663552,True
0.86,15,9.67422,True
1.1,21,9.689689,True
1.07,24,9.706776,True
0.84,17,9.71855,True
1.1,21,9.730087,True
0.82,19,9.743078,True
0.81,20,9.755745,True
1.03,28,9.773528,True
1.14,17,9.784656,True
1.19,12,9.792803,True
0.79,22,9.804877,True
0.84,17,9.813609,True
1.16,15,9.821858,True
0.85,16,9.830297,True
0.86,15,9.839605,True
0.84,17,9.849826,True
0.78,23,9.864202,True
0.87,14,9.872982,True
0.89,12,9.879478,True
0.76,25,9.891626,True
0.81,20,9.901465,True
0.77,24,9.91347,True
1.07,24,9.925285,True
1.1,21,9.935832,True
1.15,16,9.94404,True
0.83,18,9.953375,True
1.12,19,9.962929,True
0.8,21,9.973678,True
1.15,16,9.982114,True
0.77,24,9.994363,True
0.71,30,10.009942,True
1.1,21,10.021167,True
0.81,20,10.031478,True
1.13,18,10.041725,True
1.14,17,10.051001,True
1.14,17,10.06038,True
0.87,14,10.068357,True
1.19,12,10.074959,True
0.89,12,10.081796,True
1.09,22,10.094722,True
1.19,12,10.102339,True
0.87,14,10.110124,True
0.87,14,10.119553,True
0.81,20,10.130699,True
1.06,25,10.145173,True
1.06,25,10.159904,True
1.11,20,10.171021,True
0.78,23,10.184,True
1.12,19,10.194836,True
0.86,15,10.204215,True
1.14,17,10.213225,True
0.86,15,10.221216,True
1.06,25,10.234188,True
0.83,18,10.243483,True
0.85,16,10.251514,True
1.16,15,10.259436,True
1.01,30,10.27469,True
1.17,14,10.281853,True
0.84,17,10.290678,True
1.12,19,10.300453,True
0.85,16,10.308506,True
0.84,17,10.317116,True
1.16,15,10.325072,True
0.95,36,10.343371,True
1.08,23,10.355713,True
1.08,23,10.367034,True
1.18,13,10.374254,True
1.05,26,10.38719,True
1.1,21,10.397863,True
0.78,23,10.410196,True
0.8,21,10.420828,True
1.1,21,10.431474,True
0.88,13,10.437774,True
1.11,20,10.447724,True
0.89,12,10.453744,True
1.05,26,10.466633,True
1.12,19,10.476168,True
1.05,26,10.48927,True
1.06,25,10.501669,True
0.88,13,10.508082,True
1.14,17,10.516316,True
0.87,14,10.523451,True
0.81,20,10.533337,True
0.85,16,10.541334,True
0.88,13,10.54808,True
1.14,17,10.556839,True
0.99,32,10.572407,True
0.84,17,10.581057,True
0.88,13,10.58764,True
1.1,21,10.597915,True
0.84,17,10.60612,True
1.19,12,10.611939,True
1.11,20,10.62187,True
1.13,18,10.631056,True
1.13,18,10.639844,True
1.15,16,10.647922,True
1.17,14,10.654695,True
0.85,16,10.662509,True
1.11,20,10.672768,True
0.82,19,10.68235,True
1.04,27,10.695813,True
0.84,17,10.704346,True
0.82,19,10.71357,True
0.85,16,11.624775,True
1.17,14,11.633373,True
0.87,14,11.641948,True
0.87,14,11.649822,True
1.19,12,11.658887,True
0.84,17,11.669197,True
0.87,14,11.67727,True
0.85,16,11.686249,True
1.16,15,11.693938,True
1.15,16,11.702052,True
0.76,25,11.718987,True
0.85,16,11.730228,True
0.82,19,11.741988,True
1.17,14,11.750875,True
0.86,15,11.760759,True
0.82,19,11.771367,True
1.16,15,11.780048,True
1.19,12,11.78787,True
1.0,31,11.807417,True
0.88,13,11.814209,True
0.87,14,11.821266,True
1.08,23,11.832604,True
0.89,12,11.838483,True
1.17,14,11.845337,True
0.88,13,11.852028,True
1.12,19,11.861627,True
1.12,19,11.87096,True
1.12,19,11.880022,True
